date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:11	33311/33311	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202016%2008:32:49%20GMT	http://demos.wpexpand.com/html/eElectronics/	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/index.html	(from )
22:07:35	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/My%20Web%20Sites/eElectronics/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://demos.wpexpand.com/html/eElectronics/)
22:07:48	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%22385b964b68acb68d23cb43a5218fade9%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	C:/My%20Web%20Sites/eElectronics/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	(from http://demos.wpexpand.com/html/eElectronics/)
22:07:58	20107/20107	---MCZ	200	added ('OK')	text/css	etag:W/%2257383433-4e8b%22	http://demos.wpexpand.com/html/eElectronics/style.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/style.css	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:00	3695/3695	---MCZ	200	added ('OK')	text/css	etag:W/%225738368c-e6f%22	http://demos.wpexpand.com/html/eElectronics/css/responsive.css	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/css/responsive.css	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:02	40981/40981	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202016%2008:32:43%20GMT	http://demos.wpexpand.com/html/eElectronics/cart.html	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/cart.html	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:03	82939/82939	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202016%2008:32:44%20GMT	http://demos.wpexpand.com/html/eElectronics/checkout.html	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/checkout.html	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:04	33311/33311	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202016%2008:32:49%20GMT	http://demos.wpexpand.com/html/eElectronics/index.html	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/index-2.html	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:05	22322/22322	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202016%2008:32:48%20GMT	http://demos.wpexpand.com/html/eElectronics/shop.html	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/shop.html	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:06	26210/26210	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20May%202016%2008:32:51%20GMT	http://demos.wpexpand.com/html/eElectronics/single-product.html	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/single-product.html	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:09	32384/32384	---M--	200	added ('OK')	image/jpeg	etag:%2257383698-7e80%22	http://demos.wpexpand.com/html/eElectronics/img/product-1.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-1.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:10	24375/24375	---M--	200	added ('OK')	image/jpeg	etag:%225738369a-5f37%22	http://demos.wpexpand.com/html/eElectronics/img/product-2.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-2.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:11	10202/10202	---M--	200	added ('OK')	image/jpeg	etag:%225738369c-27da%22	http://demos.wpexpand.com/html/eElectronics/img/product-4.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-4.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:11	25182/25182	---M--	200	added ('OK')	image/jpeg	etag:%225738369c-625e%22	http://demos.wpexpand.com/html/eElectronics/img/product-3.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-3.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:14	20433/20433	---M--	200	added ('OK')	image/jpeg	etag:%225738369e-4fd1%22	http://demos.wpexpand.com/html/eElectronics/img/product-5.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-5.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:15	30528/30528	---M--	200	added ('OK')	image/jpeg	etag:%22573836a0-7740%22	http://demos.wpexpand.com/html/eElectronics/img/product-6.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-6.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:15	12697/12697	---M--	200	added ('OK')	image/jpeg	etag:%22573836a8-3199%22	http://demos.wpexpand.com/html/eElectronics/img/services_logo__1.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/services_logo__1.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:16	6781/6781	---M--	200	added ('OK')	image/jpeg	etag:%22573836a8-1a7d%22	http://demos.wpexpand.com/html/eElectronics/img/services_logo__2.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/services_logo__2.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:17	8719/8719	---M--	200	added ('OK')	image/jpeg	etag:%22573836aa-220f%22	http://demos.wpexpand.com/html/eElectronics/img/services_logo__3.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/services_logo__3.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:18	7977/7977	---M--	200	added ('OK')	image/jpeg	etag:%22573836aa-1f29%22	http://demos.wpexpand.com/html/eElectronics/img/services_logo__4.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/services_logo__4.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:19	3172/3172	---M--	200	added ('OK')	image/jpeg	etag:%22573836a0-c64%22	http://demos.wpexpand.com/html/eElectronics/img/product-thumb-1.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-thumb-1.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:20	7778/7778	---M--	200	added ('OK')	image/jpeg	etag:%22573836a4-1e62%22	http://demos.wpexpand.com/html/eElectronics/img/product-thumb-2.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-thumb-2.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:21	5392/5392	---M--	200	added ('OK')	image/jpeg	etag:%22573836a2-1510%22	http://demos.wpexpand.com/html/eElectronics/img/product-thumb-3.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-thumb-3.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:25	7149/7149	---M--	200	added ('OK')	image/jpeg	etag:%22573836a5-1bed%22	http://demos.wpexpand.com/html/eElectronics/img/product-thumb-4.jpg	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/img/product-thumb-4.jpg	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:31	95821/95821	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-1764d%22	https://code.jquery.com/jquery.min.js	C:/My%20Web%20Sites/eElectronics/code.jquery.com/jquery.min.js	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:32	31819/31819	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abda843684d022f3bc22bc83927fe05f%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/js/bootstrap.min.js	C:/My%20Web%20Sites/eElectronics/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/js/bootstrap.min.js	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:33	40401/40401	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573836be-9dd1%22	http://demos.wpexpand.com/html/eElectronics/js/owl.carousel.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/js/owl.carousel.min.js	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:34	5654/5654	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573836bb-1616%22	http://demos.wpexpand.com/html/eElectronics/js/jquery.sticky.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/js/jquery.sticky.js	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:36	6967/6967	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573836bb-1b37%22	http://demos.wpexpand.com/html/eElectronics/js/jquery.easing.1.3.min.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/js/jquery.easing.1.3.min.js	(from http://demos.wpexpand.com/html/eElectronics/)
22:08:37	1892/1892	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573836bd-764%22	http://demos.wpexpand.com/html/eElectronics/js/main.js	C:/My%20Web%20Sites/eElectronics/demos.wpexpand.com/html/eElectronics/js/main.js	(from http://demos.wpexpand.com/html/eElectronics/)
